Date,Water Level
1925-01-01,100.24835707650561
1925-01-02,100.17922492592002
1925-01-03,100.50306919497037
1925-01-04,101.26458412317439
1925-01-05,101.14750743581271
1925-01-06,101.03043895733812
1925-01-07,101.82004536509181
1925-01-08,102.20376272966827
1925-01-09,101.9690255367008
1925-01-10,102.24030555849379
1925-01-11,102.00859671208755
1925-01-12,101.77573183530242
1925-01-13,101.89671297108544
1925-01-14,100.94007284875654
1925-01-15,100.07761393250003
1925-01-16,99.79647016787953
1925-01-17,99.29005460771232
1925-01-18,99.44717827400996
1925-01-19,98.99316623624935
1925-01-20,98.28701438558171
1925-01-21,99.01983877004248
1925-01-22,98.90695061979922
1925-01-23,98.94071472214318
1925-01-24,98.22834062903645
1925-01-25,97.95614926677386
1925-01-26,98.0116105616288
1925-01-27,97.43611377291765
1925-01-28,97.62396278209047
1925-01-29,97.32364343713108
1925-01-30,97.17779656223443
1925-01-31,96.87694325611974
1925-02-01,97.8030823483742
1925-02-02,97.79633373600524
1925-02-03,97.2674782715273
1925-02-04,97.67875072757889
1925-02-05,97.06832890259338
1925-02-06,97.17276070009575
1925-02-07,96.19292563815587
1925-02-08,95.52883261370665
1925-02-09,95.62726323164121
1925-02-10,95.99649652163892
1925-02-11,96.08218066223391
1925-02-12,96.02435652103978
1925-02-13,95.87380467324513
1925-02-14,95.13454367806142
1925-02-15,94.77462157386407
1925-02-16,94.54430218838418
1925-02-17,95.07286330149364
1925-02-18,95.24467244627786
1925-02-19,94.3631523685965
1925-02-20,94.5251943532939
1925-02-21,94.33265321308573
1925-02-22,93.99419221293276
1925-02-23,94.3000303573532
1925-02-24,94.81553011860117
1925-02-25,95.28117017815927
1925-02-26,94.86156141654794
1925-02-27,94.70695522862233
1925-02-28,94.87258694432413
1925-03-01,95.3603595078853
1925-03-02,95.12077238896265
1925-03-03,95.02794290063075
1925-03-04,94.47477541362774
1925-03-05,93.8766721015874
1925-03-06,94.28293501278449
1925-03-07,94.9610550270699
1925-03-08,94.92504996627974
1925-03-09,95.42681641522576
